[1749317285.582, '46.45415211076245'];[1749317285.596, '12.974576271186393'];[1749317285.613, '0'];[1749317285.625, '0'];[1749317285.64, '461579.1872759839'];[1749317285.661, '0'];[1749317285.683, '0'];[1749317285.701, '0'];[1749317285.709, '0'];
[1749317287.72, '46.509643924238866'];[1749317287.733, '12.944915254237173'];[1749317287.739, '0'];[1749317287.749, '0'];[1749317287.757, '461809.0377956519'];[1749317287.764, '0'];[1749317287.773, '0'];[1749317287.781, '0'];[1749317287.794, '0'];
[1749317289.805, '46.433416735620014'];[1749317289.81, '12.677966101695134'];[1749317289.818, '0'];[1749317289.824, '0'];[1749317289.831, '461945.70567221125'];[1749317289.84, '0'];[1749317289.849, '0'];[1749317289.864, '0'];[1749317289.872, '0'];
[1749317291.889, '46.457706746501145'];[1749317291.895, '12.661016949152398'];[1749317291.901, '0'];[1749317291.912, '0'];[1749317291.92, '461240.62367268914'];[1749317291.926, '0'];[1749317291.933, '0'];[1749317291.942, '0'];[1749317291.948, '0'];
[1749317293.954, '46.45148613395842'];[1749317293.957, '12.597457627118843'];[1749317293.963, '0'];[1749317293.969, '0'];[1749317293.974, '461268.57846562174'];[1749317293.98, '0'];[1749317293.993, '0'];[1749317293.999, '0'];[1749317294.004, '0'];
[1749317372.341, '46.467876954309105'];[1749317372.346, '9.381355932203533'];[1749317372.351, '0'];[1749317372.355, '0'];[1749317372.36, '461408.3524302847'];[1749317372.369, '0'];[1749317372.374, '0'];[1749317372.38, '0'];[1749317372.386, '0'];
[1749317374.392, '46.483181635961856'];[1749317374.397, '9.427966101695105'];[1749317374.404, '0'];[1749317374.411, '0'];[1749317374.416, '461428.02432160766'];[1749317374.42, '0'];[1749317374.425, '0'];[1749317374.428, '0'];[1749317374.437, '0'];
[1749317376.446, '46.46550719714997'];[1749317376.452, '9.440677966101973'];[1749317376.459, '0'];[1749317376.474, '0'];[1749317376.48, '461588.50554029475'];[1749317376.486, '0'];[1749317376.491, '0'];[1749317376.494, '0'];[1749317376.5, '0'];
[1749317378.511, '46.46896309300704'];[1749317378.517, '9.444915254237458'];[1749317378.525, '0'];[1749317378.532, '0'];[1749317378.539, '461428.02432160766'];[1749317378.547, '0'];[1749317378.555, '0'];[1749317378.56, '0'];[1749317378.564, '0'];
[1749317380.57, '46.477355982945646'];[1749317380.573, '9.409482758620854'];[1749317380.577, '0'];[1749317380.584, '0'];[1749317380.59, '461436.3072232173'];[1749317380.596, '0'];[1749317380.602, '0'];[1749317380.61, '0'];[1749317380.624, '0'];
#ahora jetson
[1749317922.195, '49.482504280373874'];[1749317922.201, '62.83898305084734'];[1749317922.206, '0'];[1749317922.215, '0'];[1749317922.221, '487648.5847296798'];[1749317922.229, '0'];[1749317922.233, '0'];[1749317922.239, '0'];[1749317922.247, '0'];
[1749317924.257, '46.6493608567462'];[1749317924.263, '61.8686440677967'];[1749317924.268, '33.8'];[1749317924.272, '0'];[1749317924.276, '460509.65760563686'];[1749317924.286, '0'];[1749317924.293, '0'];[1749317924.302, '0'];[1749317924.312, '0'];
[1749317926.318, '46.65034825556251'];[1749317926.321, '59.88983050847484'];[1749317926.328, '0'];[1749317926.334, '0'];[1749317926.343, '460637.00721788534'];[1749317926.347, '0'];[1749317926.354, '0'];[1749317926.359, '0'];[1749317926.366, '0'];
[1749317928.372, '46.671774809876354'];[1749317928.376, '58.03389830508457'];[1749317928.38, '0'];[1749317928.39, '0'];[1749317928.4, '460886.5296288763'];[1749317928.407, '0'];[1749317928.414, '0'];[1749317928.418, '0'];[1749317928.424, '0'];
[1749317930.449, '46.66259200088471'];[1749317930.457, '56.08898305084741'];[1749317930.466, '0'];[1749317930.475, '0'];[1749317930.481, '460854.43338513887'];[1749317930.493, '0'];[1749317930.51, '0'];[1749317930.517, '0'];[1749317930.533, '0'];
[1749318471.878, '46.27177954939068'];[1749318471.886, '54.110169491524964'];[1749318471.893, '0'];[1749318471.899, '0'];[1749318471.91, '452440.040712428'];[1749318471.917, '0'];[1749318471.925, '0'];[1749318471.933, '0'];[1749318471.939, '0'];
[1749318473.948, '46.262794220162284'];[1749318473.952, '52.13559322033878'];[1749318473.957, '0'];[1749318473.961, '0'];[1749318473.964, '452536.32944364025'];[1749318473.969, '0'];[1749318473.976, '0'];[1749318473.982, '0'];[1749318473.991, '0'];
[1749318475.997, '46.2622017808725'];[1749318476.001, '50.60593220338937'];[1749318476.007, '0'];[1749318476.012, '0'];[1749318476.022, '452508.37465070764'];[1749318476.028, '0'];[1749318476.04, '0'];[1749318476.047, '0'];[1749318476.058, '0'];
[1749318478.068, '46.2805673988558'];[1749318478.074, '48.415254237287456'];[1749318478.082, '0'];[1749318478.09, '0'];[1749318478.096, '452412.0859194954'];[1749318478.106, '0'];[1749318478.112, '0'];[1749318478.119, '0'];[1749318478.127, '0'];
[1749318480.135, '46.29360106323105'];[1749318480.141, '46.47881355932147'];[1749318480.145, '0'];[1749318480.148, '0'];[1749318480.155, '452604.66338191996'];[1749318480.16, '0'];[1749318480.164, '0'];[1749318480.169, '0'];[1749318480.175, '0'];
